Spielname,Genre,Minispiel,Optionalität,UI - Transformation,Belohnungen,Einfluss Minispiel - Belohnung auf Hauptspiel,Auftreten,Wiederholung,Retry,Komplexität,Veränderung der Schwierigkeit,Einsatz,Geforderte(r) Skill(s),Abbruchbarkeit,Unterbricht Hauptspielfluss,Räumliche Einschränkung,Timer,Cooldown
Final Fantasy VII,"Abenteuer, Rollenspiel",Chocobo Racing,einmalig,stark,"ressourcen, storyfortschritt",ja,selten,ja,nein,mittel,kontext_situativ,nein,geschicklichkeit,nein,ja,ja,ja,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Arm Wrestling,ja,keine,spielwährung,ja,einmalig,ja,nein,gering,konstant,nein,geschicklichkeit,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Basketball,ja,keine,spielwährung,ja,einmalig,ja,nein,gering,konstant,ja,timing,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Mog House,ja,leicht,spielwährung,ja,einmalig,ja,nein,gering,konstant,ja,keine,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Wonder Catcher,ja,keine,spielwährung,ja,einmalig,ja,ja,gering,konstant,ja,glück,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",3D Battler,ja,keine,spielwährung,ja,einmalig,ja,ja,mittel,konstant,ja,"strategie, glück",nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Shooting Coaster,ja,stark,spielwährung,ja,einmalig,ja,ja,mittel,konstant,ja,geschicklichkeit,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Clock Puzzle,nein,leicht,ressourcen,ja,einmalig,ja,ja,hoch,konstant,nein,strategie,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Excavation,einmalig,leicht,"spielwährung, ressourcen, storyfortschritt",ja,einmalig,ja,nein,mittel,konstant,ja,glück,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Snowboarding,ja,leicht,keine,nein,selten,ja,nein,mittel,konstant,nein,geschicklichkeit,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Glacier Plattforming,ja,leicht,keine,nein,einmalig,ja,ja,gering,konstant,nein,strategie,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Temperatur,nein,mittel,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,timing,nein,ja,ja,nein,nein
