Spiel;Genre;Minispiel;Jahr;Einfluss Minispiel Belohnung;Wiederholung;Abbruchbarkeit;Unterbricht Hauptspielfluss;Räumliche Einschränlung;Einsatz;Timer ;Cooldown;Retry
FF VII;JRPG;whirlwind maze ;2006;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja
FF VII;JRPG;submarine game;2006;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja
bioshock;First-Person Shooter;  hacking;2007;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Nein
mass effect 1;Action-RPG;bypass;2007;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein
mass effect 1;Action-RPG;override;2007;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein
mass effect 1;Action-RPG;pressure puzzle;2007;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja
mass effect 1;Action-RPG;cure puzzle;2007;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja
Persona 4;JRPG;fishing;2008;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein
persona 3 portable;JRPG;shuffle time;2010;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein
bioshock 2;First-Person Shooter;hacking;2012;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein
skyrim;Open World RPG;lockpicking;2011;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja
witcher 2;Action-RPG;am wrestling;2012;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein
witcher 2;Action-RPG;fistfights;2012;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein
witcher 2;Action-RPG;dice;2012;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein
bowsers inside Story Progress;RPG;bowser muscles;2009;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja
bowsers inside Story Progress;RPG;carrot eating;2009;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja
bowsers inside Story Progress;RPG;sneezing;2009;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja
bowsers inside Story Progress;RPG;adrenaline;2009;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Ja
bowsers inside Story Progress;RPG;chest station;2009;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Ja
bowsers inside Story Progress;RPG;statue push;2009;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja
mass effect 2;Action-RPG;bypass;2010;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Nein
mass effect 2;Action-RPG;planet scan;2010;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja
bioshock infinite;First-Person Shooter;shooting gallery;2013;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja
TLOZ a link between worlds;Action-Adventure;cucco ranch;2013;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja
TLOZ a link between worlds;Action-Adventure;fortunes choice;2013;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja
TLOZ a link between worlds;Action-Adventure;hyrule hotfoot;2013;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja
TLOZ a link between worlds;Action-Adventure;octoball derby;2013;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja
Nier automata;Action-RPG;hacking;2017;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja
Nier automata;Action-RPG;shoot em up;2017;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja
fire emblem three houses;Action-RPG;fishing;2019;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein
fire emblem three houses;Tactical RPG;gardening;2019;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja
Persona 5 royal;RPG;batting cage;2020;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein
Persona 5 royal;RPG;crossword puzzles;2020;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein
Persona 5 royal;RPG;darts;2020;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein
Persona 5 royal;RPG;fishing;2020;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein
Persona 5 royal;RPG;quiz show;2020;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein
Persona 5 royal;RPG;video games;2020;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein
