Spiel;Genre;Minispiel;Belohnungen;
Hogwarts Legacy;Open World RPG;Alohomora / Lockpicking;Story Progress, Items;
Hogwarts Legacy;Open World RPG;Ballons zerplatzen;EP, Items;
Hogwarts Legacy;Open World RPG;Merlins Prüfungen;EP, Upgrades;
God of War III;Action-Adventure;Pandoras Musik Puzzle;Story Progress;
Resident Evil 3 (Remake);Survival Horror;Schienen Puzzle;Story Progress;
Resident Evil 3 (Remake);Survival Horror;Lab Puzzle;Story Progress;
Silent Hill f;Survival Horror;Altar Rätsel;Story Progress;
Silent Hill f;Survival Horror;Zahlenkombnation;Story Progress, Upgrades;
Silent Hill f;Survival Horror;Geheimkiste Rätsel;Story Progress;
Silent Hill f;Survival Horror;Waage Rätsel;Story Progress;
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Data Diver Upgrade;Story Progress;
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Power Generator;Story Progress;
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Moon.exe;Alternatives Ende;
